min_code,acct_code,fee_desc,agency,branch,case_types,statute,distributed_to,category
AC70,AC70,ADOPTION REUNION REGISTRY/DHS,OK Department of Human Services,Executive,None,28 O. supp. 1999 ¤ 152,OK DHS,Procedural Court Fees
AC29,AC29,APPLICATION FOR INDIGENT DEFENSE,OK Indigent Defense System,Executive,Both,25 ¤ 1355A,"Court Fund, Court Clerk Revolving Fund",Indigent Defense
AIDS,AC29,APPLICATION FOR INDIGENT DEFENSE,OK Indigent Defense System,Executive,Both,25 ¤ 1355A,"Court Fund, Court Clerk Revolving Fund",Indigent Defense
AIDS1,AC29,APPLICATION FOR INDIGENT DEFENSE,OK Indigent Defense System,Executive,Both,25 ¤ 1355A,"Court Fund, Court Clerk Revolving Fund",Indigent Defense
ATTO,AC20,ATTORNEY FEES-Tulsa and Oklahoma County Public Defender,,,,,,Indigent Defense
AC07,AC07,ATTORNEY GENERAL VICTIM SERVICES UNIT,Attorney General's Office,Executive,Both,28 ¤ 152; 153,AG Victim Services Unit,Procedural Court Fees
AGVSU,AC07,ATTORNEY GENERAL VICTIM SERVICES UNIT,Attorney General's Office,Executive,Both,28 ¤ 152; 153,AG Victim Services Unit,Procedural Court Fees
AC21,AC21,AUTOMATED FINGER PRINTING IDENTIFICATION SYSTEM (A. F. I. S.),OSBI,Executive,Criminal,18 ¤ 1313.3,OSBI,Procedural Court Fees
AFIS,AC21,AUTOMATED FINGER PRINTING IDENTIFICATION SYSTEM (A. F. I. S.),OSBI,Executive,Criminal,18 ¤ 1313.3,OSBI,Procedural Court Fees
AC10,AC10,BUREAU OF NARCOTICS DRUG EDUCATION,Oklahoma Bureau of Narcotics and Dangerous Drugs,Executive,Criminal,20 ¤ 1313.2,Oklahoma Bureau of Narcotics and Dangerous Drugs,Procedural Court Fees
AC11,AC11,C.L.E.E.T PENALTY ASSESSMENT,C.L.E.E.T.,Executive,Criminal,20 ¤ 1313.2,C.L.E.E.T.,Procedural Court Fees
CLEET,AC11,C.L.E.E.T PENALTY ASSESSMENT,C.L.E.E.T.,Executive,Criminal,20 ¤ 1313.2,C.L.E.E.T.,Procedural Court Fees
AC09,AC09,CARD ALLOCATIONS,NA,Executive,Both,28 ¤ 151,Private Entity,Procedural Court Fees
SFC,,CASE SENT FOR COLLECTION - COLLECTION COMPANY FEE,NA,NA,Both,11 ¤ 22-138,Private Entity,Collection Company Fees
AC69,AC69,CHILD ABUSE MULTIDISCIPLINARY FEE,OK Department of Human Services,Executive,Civil,28 ¤ 152,OK DHS,Procedural Court Fees
CHAB,AC69,CHILD ABUSE MULTIDISCIPLINARY FEE,OK Department of Human Services,Executive,Civil,28 ¤ 152,OK DHS,Procedural Court Fees
CBWF1,AC01,CLERK'S BENCH WARRANT FEE,Courts,Judicial,Both,22 ¤ 966A,Court Clerk Revolving Fund,Procedural Court Fees
AC01,AC01,CLERK'S FEES,Courts,Judicial,Both,28 ¤ 31; 28 ¤ 151-162,Court Fund,Procedural Court Fees
AC61,AC61,COMMUNITY SERVICE PROGRAM ASSESSMENT,,,,,,Misc. / Other
COPYI,,COPY OF INDEX OF APPEAL RECORD,,,,,,Procedural Court Fees
MUNI,,COSTS TO ARRESTING AGENCY ON DUI,,,,,,Procedural Court Fees
AC19,AC19,COUNTY WILDLIFE FINES,,,,,,Statutory Fines
AC20,AC20,ATTORNEY FEES-Tulsa and Oklahoma County Public Defender,,,,,,Indigent Defense
AC53,AC53,COURT APPOINTED ATTORNEY FEE,,,,,,Indigent Defense
ATFEE,AC53,COURT APPOINTED ATTORNEY FEE,,,,,,Indigent Defense
CCADMIN,AC01,COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS,,,,,,Procedural Court Fees
AC31,AC31,COURT CLERK'S REVOLVING FUND,Courts,Judicial,Both,,,Procedural Court Fees
COSTD,,COURT COSTS (DUI),,,,,,Procedural Court Fees
