district,da_name,county_list,county,dist_label
1,MIKE BORING,"BEAVER, CIMARRON, HARPER, TEXAS",BEAVER,"1 (BEAVER, CIMARRON, HARPER, TEXAS)"
2,ANGELA MARSEE,"BECKHAM, CUSTER, ELLIS, ROGER MILLS, WASHITA",BECKHAM,"2 (BECKHAM, CUSTER, ELLIS, ROGER MILLS, WASHITA)"
3,KEN DARBY,"GREER, HARMON, JACKSON, KIOWA, TILLMAN,",GREER,"3 (GREER, HARMON, JACKSON, KIOWA, TILLMAN,)"
4,MIKE FIELDS,"BLAINE, CANADIAN, GARFIELD, GRANT, KINGFISHER",BLAINE,"4 (BLAINE, CANADIAN, GARFIELD, GRANT, KINGFISHER)"
5,FRED SMITH,"COMANCHE, COTTON",COMANCHE,"5 (COMANCHE, COTTON)"
6,JASON HICKS,"CADDO, GRADY, JEFFERSON, STEPHENS",CADDO,"6 (CADDO, GRADY, JEFFERSON, STEPHENS)"
7,DAVID PRATER,OKLAHOMA,OKLAHOMA,7 (OKLAHOMA)
8,BRIAN HERMANSON,"KAY, NOBLE",KAY,"8 (KAY, NOBLE)"
9,LAURA THOMAS,"LOGAN, PAYNE",LOGAN,"9 (LOGAN, PAYNE)"
10,REX DUNCAN,"OSAGE, PAWNEE",OSAGE,"10 (OSAGE, PAWNEE)"
11,KEVIN BUCHANAN,"NOWATA, WASHINGTON",NOWATA,"11 (NOWATA, WASHINGTON)"
12,MATT BALLARD,"CRAIG, MAYES, ROGERS",CRAIG,"12 (CRAIG, MAYES, ROGERS)"
13,KENNY WRIGHT,"DELAWARE, OTTAWA",DELAWARE,"13 (DELAWARE, OTTAWA)"
14,STEVE KUNZWEILER,TULSA,TULSA,14 (TULSA)
15,ORVIL LOGE,MUSKOGEE,MUSKOGEE,15 (MUSKOGEE)
16,JEFF SMITH,"LATIMER, LE FLORE",LATIMER,"16 (LATIMER, LE FLORE)"
17,MARK MATLOFF,"CHOCTAW, MCCURTAIN, PUSHMATAHA",CHOCTAW,"17 (CHOCTAW, MCCURTAIN, PUSHMATAHA)"
18,CHUCK SULLIVAN,"HASKELL, PITTSBURG",HASKELL,"18 (HASKELL, PITTSBURG)"
19,EMILY REDMAN,"ATOKA, BRYAN, COAL",ATOKA,"19 (ATOKA, BRYAN, COAL)"
20,CRAIG LADD,"CARTER, JOHNSTON, LOVE, MARSHALL, MURRAY",CARTER,"20 (CARTER, JOHNSTON, LOVE, MARSHALL, MURRAY)"
21,GREG MASHBURN,"CLEVELAND, GARVIN, MCCLAIN",CLEVELAND,"21 (CLEVELAND, GARVIN, MCCLAIN)"
22,PAUL SMITH,"HUGHES, PONTOTOC, SEMINOLE",HUGHES,"22 (HUGHES, PONTOTOC, SEMINOLE)"
23,RICHARD SMOTHERMON,"LINCOLN, POTTAWATOMIE",LINCOLN,"23 (LINCOLN, POTTAWATOMIE)"
24,MAX COOK,"CREEK, OKFUSKEE",CREEK,"24 (CREEK, OKFUSKEE)"
25,ROB BARRIS,"OKMULGEE, MCINTOSH",OKMULGEE,"25 (OKMULGEE, MCINTOSH)"
26,CHRISTOPHER BORING,"ALFALFA, DEWEY, MAJOR, WOODS, WOODWARD",ALFALFA,"26 (ALFALFA, DEWEY, MAJOR, WOODS, WOODWARD)"
27,JACK THORP,"ADAIR, CHEROKEE, SEQUOYAH, WAGONER",ADAIR,"27 (ADAIR, CHEROKEE, SEQUOYAH, WAGONER)"
1,MIKE BORING,"BEAVER, CIMARRON, HARPER, TEXAS",CIMARRON,"1 (BEAVER, CIMARRON, HARPER, TEXAS)"
2,ANGELA MARSEE,"BECKHAM, CUSTER, ELLIS, ROGER MILLS, WASHITA",CUSTER,"2 (BECKHAM, CUSTER, ELLIS, ROGER MILLS, WASHITA)"
