Table,Variable,Description
rogco_offenses,rog_off_id,Unique (OJO-generated) Rogers County offender id number
rogco_offenses,book_num,Rogers County booking number
rogco_offenses,defname,legal name of defendant
rogco_offenses,ct_num,Corresponding charge/count number
rogco_offenses,ct_desc,count description as filed
rogco_offenses,pop_date,population date
rogco_inmates,rog_in_id,Unique (OJO-generated) Rogers County inmate id
rogco_inmates,book_num,Rogers County booking number
rogco_inmates,defname,legal name of defendant
rogco_inmates,def_sex,defendant's gender
rogco_inmates,def_race,defendant's race
rogco_inmates,def_age,defendan'ts age
rogco_inmates,book_date,Rogers County booking number
rogco_inmates,bond,bond amount
rogco_inmates,pop_date,population date
ppb_raw,ppb_id,Unique (OJO-generated) pardon and parole board id number
ppb_raw,docket_month,month and year of docket
ppb_raw,doc_num,department of corrections unique inmate id number
ppb_raw,defname,legal name of defendant
ppb_raw,court,county court where case was processed
ppb_raw,casenum,court specific case number
ppb_raw,value,"All additional raw data, includes offense information, case number, reception date, parole information, etc. "
ppb_members,value,pardon and parole board member
ppb_members,tno,
ppb_members,docket_month,month and year of docket
ppb_members,member,
ppb_members,nonviolent_fav,nonviolent cases ppb member voted favorably 
ppb_members,nonviolent_pct,percentage of nonviolent cases ppb member voted favorably 
ppb_members,violent_fav,violent cases ppb member voted favorably 
ppb_members,violent_pct,percentage of violent cases ppb member voted favorably 
ppb_members,nonviolent_votes,total number of nonviolent cases ppb member voted on
ppb_members,violent_votes,total number of violent cases ppb member voted on
ppb_defs,ppb_id,Unique (OJO-generated) ppb id number
ppb_defs,docket_month,month of docket
ppb_defs,doc_num,Department of corrections unique inmate id number
ppb_defs,defname,legal name of defendant
ppb_defs,court,county court where case was processed
ppb_defs,casenum,court specific case number
ppb_defs,docket_type,"docket type (in absentia, parole, medical, etc.)"
ppb_defs,personal_app,personal application (Y/N) and number
ppb_defs,ppb_authority,When or how often does ppb have authority
ppb_defs,offense,Offense description
ppb_defs,jail_days,jail time in days
ppb_defs,reception_date,date of reception into department of corrections
ppb_defs,proj_release_date,projected release date
ppb_defs,next_ppb_date,next pardon and parole board date
ppb_defs,next_ppb_type,"Next ppb authority type, "
ppb_defs,sentence,sentence length 
ppb_defs,sent_yrs,sentence length in years
ppb_defs,action,PPB decision 
ppb_defs,action_cond,decision stipulation or condition
ppb_cases,ppbc_id,Unique (OJO-generated) ppb  id number
ppb_cases,docket_month,month of docket
ppb_cases,doc_num,department of corrections unique inmate id number
ppb_cases,defname,legal name of defendant
ppb_cases,court,county court where case was processed
ppb_cases,casenum,court specific case number
ppb_cases,type,"case type (concurrent, consecutive, detainer)"
ppb_cases,case,"case discription, length of sentence, casenum, date sentence given"
oscn_updates,oscn_update_id,Unique OJO update id
oscn_updates,court,county court where case was processed
oscn_updates,casenum,court specific case number
oscn_updates,casetype,"case type (felony, misdemeanor, civil)"
oscn_updates,file_year,year case was filed
oscn_updates,updated,date and time data was last updated from OSCN
oscn_updates,available,"Documents if previously available records are no longer available on OSCN, any record that is no longer available is assumed to have been expunged"
oscn_pays,oscn_pay_id,Unique (OJO-generated) OSCN pay id number
oscn_pays,court,county court where case was processed
oscn_pays,casenum,court specific case number
